2023-12-30 22:12:460 INFO  ProductDetailPage :168 - Entering Comment into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //textarea[@name='message']]
2023-12-30 22:12:660 INFO  ProductDetailPage :171 - Clicking on Place order : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Place Order']]
2023-12-30 22:12:914 INFO  PaymentPage :52 - Entering Name On Card into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: name_on_card]
2023-12-30 22:12:94 INFO  PaymentPage :57 - Entering Card Number into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //input[@name='card_number']]
2023-12-30 22:12:285 INFO  PaymentPage :62 - Entering CVC number into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //input[@placeholder='ex. 311']]
2023-12-30 22:12:445 INFO  PaymentPage :67 - Entering Month into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> name: expiry_month]
2023-12-30 22:12:593 INFO  PaymentPage :72 - Entering Year into : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //input[@placeholder='YYYY']]
2023-12-30 22:12:877 INFO  PaymentPage :77 - Clicking on Pay And Confirm order : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> id: submit]
2023-12-30 22:12:216 INFO  PaymentPage :87 - Getting text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //p[normalize-space()='Congratulations! Your order has been confirmed!']]
2023-12-30 22:12:409 INFO  HomePage :149 - Clicking on Delete Account : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Delete Account']]
2023-12-30 22:12:609 INFO  HomePage :153 - Getting text from : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //b[normalize-space()='Account Deleted!']]
2023-12-30 22:12:680 INFO  HomePage :158 - Clicking on Continue Button : [[ChromeDriver: chrome on windows (d0fcd85f6188e639f8f9a567b4fa1928)] -> xpath: //a[normalize-space()='Continue']]
2023-12-30 22:12:915 INFO  HomePage :202 - Clicking on Product Link : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //a[@href='/products']]
2023-12-30 22:12:363 INFO  ProductPage :134 - Clicking on add to cart Button1 : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: (//a[@class='btn btn-default add-to-cart'][normalize-space()='Add to cart'])[1]]
2023-12-30 22:12:646 INFO  ProductPage :147 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //button[normalize-space()='Continue Shopping']]
2023-12-30 22:12:865 INFO  ProductPage :139 - Clicking on add to cart Button2 : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: (//a[@class='btn btn-default add-to-cart'][normalize-space()='Add to cart'])[3]]
2023-12-30 22:12:24 INFO  ProductPage :143 - Clicking on Right Arrow Button : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //u[normalize-space()='View Cart']]
2023-12-30 22:12:513 INFO  ProductPage :172 - Getting Text from : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //a[normalize-space()='Blue Top']]
2023-12-30 22:12:554 INFO  ProductPage :177 - Getting Text from : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //a[normalize-space()='Men Tshirt']]
2023-12-30 22:12:593 INFO  ProductPage :152 - Getting Text from : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //td[@class='cart_price']//p[contains(text(),'Rs. 500')]]
2023-12-30 22:12:639 INFO  ProductPage :157 - Getting Text from : [[ChromeDriver: chrome on windows (f04ca5af684c4bd3571227b6c2f2c8ec)] -> xpath: //td[@class='cart_price']//p[contains(text(),'Rs. 400')]]
